equipment,est_peak_temp,num_companions,ticket,gender,distance_home,food_spend,age,runs
own,15,0,child,female,16,27,16,11
rent,15,2,adult,male,106,11,35,9
rent,20,1,adult,male,89,22,19,9
rent,30,1,child,male,102,19,15,13
own,0,3,season,female,183,28,42,1
own,0,1,senior,male,23,19,76,8
rent,25,0,senior,female,106,21,69,12
rent,15,2,season,female,14,20,74,8
own,5,2,senior,male,177,11,68,7
own,10,2,senior,female,183,12,60,6
own,0,3,adult,female,93,17,20,4
own,-5,2,adult,female,173,0,20,5
own,10,1,child,male,30,17,16,8
own,15,2,adult,female,100,9,34,9
own,0,1,senior,female,19,24,67,7
own,25,0,adult,male,50,17,24,17
own,5,3,senior,female,125,15,77,5
own,15,4,senior,male,106,25,77,6
own,5,2,senior,male,54,0,63,7
own,15,1,senior,male,93,0,61,10
own,20,1,senior,female,22,0,66,14
own,-5,1,adult,male,106,11,36,7
rent,10,5,season,male,110,16,61,3
own,15,4,adult,female,165,26,57,6
own,-0,3,season,male,11,10,32,6
own,5,1,season,male,164,26,52,5
own,10,4,adult,female,180,0,55,6
rent,15,2,adult,male,44,10,45,12
own,35,2,senior,female,29,18,77,13
own,5,0,adult,male,17,10,24,11
own,20,0,child,male,126,9,7,12
own,0,1,adult,male,89,11,42,7
own,20,1,adult,female,119,0,30,12
own,-5,1,adult,female,187,20,32,5
own,10,4,season,male,132,13,29,2
own,-10,2,child,female,143,0,16,3
own,5,1,adult,male,32,10,20,7
own,-10,1,adult,female,34,0,46,6
rent,0,3,child,female,19,0,6,6
own,25,2,adult,female,27,12,22,14
own,25,1,season,male,109,14,44,9
own,20,4,season,female,29,13,43,10
own,10,2,senior,female,109,22,79,5
own,5,2,adult,male,26,0,58,11
rent,10,2,season,female,16,14,40,8
own,15,1,child,male,11,15,9,14
own,5,2,season,male,177,12,35,2
rent,15,1,senior,female,47,9,92,13
own,10,1,adult,female,19,24,56,11
own,20,1,adult,male,182,16,50,8
own,-5,0,senior,male,47,21,71,6
own,0,1,adult,male,163,0,51,8
own,15,1,child,female,124,10,10,9
own,-0,1,child,male,109,9,14,6
own,-0,0,adult,male,116,20,26,5
own,15,2,senior,male,18,19,70,10
own,10,2,senior,male,17,18,66,9
rent,5,0,adult,male,105,0,54,9
own,5,0,child,male,55,21,12,8
own,15,2,adult,male,182,0,50,8
own,30,3,child,male,124,22,17,13
own,-5,4,adult,female,54,12,36,4
own,10,3,senior,male,37,25,65,6
own,30,2,season,female,37,8,22,16
own,5,3,season,male,55,27,69,6
own,-5,4,adult,male,61,22,35,2
own,-10,4,season,male,114,22,50,1
own,15,1,adult,other,106,0,48,12
own,15,2,season,male,120,16,49,9
own,30,4,senior,male,58,16,64,11
own,40,1,senior,male,25,10,76,20
own,0,1,adult,male,103,9,59,5
own,20,3,adult,female,110,0,58,10
own,-0,2,child,female,123,0,17,7
own,5,1,season,female,62,13,56,6
own,10,0,child,female,177,12,7,8
own,-5,0,adult,male,111,15,33,7
own,15,4,adult,male,60,6,45,8
own,15,1,season,female,58,0,66,10
own,25,0,adult,male,103,11,38,13
own,20,1,adult,female,29,7,51,15
own,5,5,adult,female,30,16,28,6
own,10,1,adult,female,119,14,43,8
own,5,2,adult,male,173,10,20,6
own,0,1,adult,male,38,0,59,9
own,-0,1,senior,female,18,0,74,9
rent,15,2,season,male,54,0,38,9
own,15,2,adult,male,188,14,40,9
own,5,0,adult,male,113,22,33,7
own,35,2,senior,female,159,16,68,13
own,20,1,season,female,168,0,46,9
own,25,4,season,female,170,25,45,7
own,15,1,adult,male,55,9,20,12
own,5,2,adult,female,23,8,48,11
own,-0,3,adult,male,48,0,58,7
own,0,2,senior,male,19,0,83,8
own,5,3,adult,male,112,0,44,9
rent,15,2,adult,male,46,23,24,8
rent,15,0,adult,female,128,0,57,9
own,15,1,senior,female,12,8,66,11
own,15,3,adult,female,32,0,21,12
own,15,2,season,female,48,15,35,8
own,25,3,child,male,126,13,12,11
own,0,2,season,female,34,0,29,8
own,5,0,senior,female,64,0,72,11
own,10,0,senior,female,90,20,65,6
own,10,3,child,male,52,9,14,10
own,-0,1,child,female,103,16,11,10
own,5,0,adult,male,15,0,47,13
own,5,2,season,male,14,0,51,8
own,10,1,season,female,96,24,77,7
rent,10,1,senior,male,18,0,65,10
own,35,3,senior,female,93,23,60,11
own,-5,1,adult,male,33,0,24,10
own,5,0,adult,male,100,27,21,5
own,5,0,season,male,105,12,82,8
own,0,0,senior,male,169,23,61,3
rent,15,1,senior,female,176,18,70,10
rent,-0,1,season,female,37,9,37,6
own,15,2,season,male,17,6,81,10
own,20,0,child,female,24,21,13,14
own,20,0,senior,female,119,11,61,10
rent,20,3,child,male,46,0,15,13
rent,-0,2,senior,male,21,12,60,5
own,15,0,child,female,92,9,13,11
own,0,2,adult,male,120,15,44,4
own,10,1,senior,female,13,16,76,9
own,5,1,season,male,181,12,50,3
own,15,1,senior,male,16,18,67,10
own,5,0,adult,female,87,0,45,10
own,25,1,senior,male,118,14,83,12
own,10,0,adult,female,13,22,59,9
own,10,4,senior,male,51,12,72,8
own,-10,2,senior,female,120,11,64,1
own,10,2,season,male,16,0,31,9
own,-5,1,adult,male,22,18,33,4
own,0,0,adult,male,17,22,35,7
own,5,2,season,female,107,27,72,5
own,25,3,child,male,25,23,13,12
own,10,1,child,male,174,5,7,10
own,20,2,season,male,109,0,64,11
rent,5,4,child,female,13,13,15,7
own,25,2,season,female,159,23,54,9
own,-15,0,season,male,16,24,67,2
own,-0,2,adult,female,65,24,45,4
own,25,0,adult,male,52,7,46,14
own,30,4,child,female,24,9,8,13
own,10,1,senior,male,16,19,62,10
own,20,1,adult,female,117,0,38,11
own,15,3,senior,male,119,0,65,11
own,25,1,adult,male,15,0,47,15
own,10,1,child,male,99,22,15,7
own,-5,2,senior,male,38,17,74,4
own,5,1,season,female,37,16,45,10
own,10,1,season,male,97,5,57,7
own,5,0,season,male,103,22,55,7
own,5,1,season,male,172,12,50,4
own,10,0,child,male,20,20,5,10
rent,0,1,season,male,52,7,79,3
own,15,7,adult,male,60,0,22,8
own,-5,0,child,male,33,0,9,10
own,30,0,adult,male,50,16,49,13
rent,10,2,senior,male,47,14,70,7
own,5,1,season,female,16,0,53,6
own,25,0,child,male,107,23,7,15
own,-0,1,child,female,11,6,17,13
own,0,1,adult,male,121,17,43,6
own,15,3,child,female,54,16,15,6
own,5,1,child,female,24,13,18,11
own,10,1,adult,male,57,16,34,8
own,0,3,season,male,123,13,44,3
own,5,1,season,male,123,0,50,5
own,15,2,adult,female,134,25,47,11
own,-5,0,adult,male,14,0,52,9
rent,5,2,season,male,58,22,59,5
own,5,1,adult,male,104,0,35,10
own,-0,1,child,female,169,16,14,6
own,15,1,adult,male,58,0,57,13
own,-15,0,season,female,178,12,52,1
own,-5,1,senior,male,47,15,64,5
own,20,2,adult,male,167,24,58,6
own,-10,1,adult,male,131,0,53,4
own,15,2,adult,male,181,6,49,9
own,10,0,child,male,60,28,14,8
own,-10,2,adult,male,171,16,33,4
own,10,1,child,female,96,11,12,9
own,25,1,adult,male,57,22,31,13
own,0,4,child,male,34,0,16,8
own,5,1,adult,female,167,20,32,3
rent,10,1,child,female,140,17,13,8
own,-0,1,adult,male,12,12,27,6
rent,10,1,season,male,101,18,53,6
own,20,2,adult,male,177,21,26,5
own,0,2,adult,female,177,0,53,6
own,20,1,season,female,187,8,64,9
own,30,1,senior,female,57,0,62,16
own,20,0,season,female,124,21,54,9
own,25,1,adult,female,174,0,35,12
own,20,4,senior,male,114,0,64,12
own,10,0,adult,male,21,0,31,13
own,20,1,season,female,17,12,55,12
own,15,0,child,male,89,0,13,13
own,20,0,adult,male,138,22,37,10
own,10,2,adult,male,114,23,21,7
own,10,0,adult,female,17,17,51,11
own,10,1,adult,female,113,17,28,8
own,-0,3,adult,male,14,17,46,8
rent,5,5,adult,male,43,19,57,5
own,10,0,adult,male,36,14,45,11
own,5,4,adult,male,46,10,60,10
own,5,0,senior,female,175,8,63,6
own,15,0,season,male,87,0,65,10
own,5,1,adult,male,14,20,55,8
rent,35,0,adult,male,165,26,42,12
own,-0,2,season,female,11,19,44,4
own,10,1,adult,male,141,18,34,6
own,15,1,adult,female,53,0,24,12
own,20,3,child,male,48,0,7,12
rent,20,2,season,female,106,19,56,5
own,0,2,senior,female,172,15,66,3
own,0,1,adult,female,12,11,28,8
own,15,1,senior,female,158,21,79,7
own,-5,1,adult,female,112,0,58,5
own,15,2,season,male,105,10,54,8
own,-10,1,season,female,109,21,69,1
own,15,2,child,female,133,0,15,11
own,30,1,adult,male,99,23,54,13
own,-5,2,season,male,124,8,28,3
own,20,1,adult,male,88,17,25,11
own,0,1,child,female,108,20,17,8
own,-0,1,adult,male,47,15,44,7
own,15,2,adult,female,24,20,46,8
own,5,3,child,female,32,14,7,7
own,5,2,child,male,15,10,14,9
rent,20,0,child,male,22,0,8,14
own,20,1,adult,female,38,11,51,12
rent,5,2,adult,female,44,20,49,7
own,20,1,season,female,173,0,59,11
own,5,1,adult,male,111,16,57,6
own,20,2,adult,female,117,25,31,7
own,25,3,season,female,57,11,50,9
own,10,0,adult,female,119,0,35,10
own,10,3,adult,female,127,0,38,8
own,15,1,adult,female,101,8,27,11
own,0,1,season,male,182,13,61,3
own,5,3,adult,male,34,23,37,5
own,5,0,adult,female,24,19,26,12
rent,10,1,adult,male,179,20,43,5
rent,10,3,adult,male,130,12,54,5
own,5,1,adult,female,111,0,19,6
own,20,4,adult,male,36,12,59,13
own,15,1,senior,female,173,0,68,8
own,5,2,child,female,167,8,13,8
rent,10,2,child,female,17,11,11,10
rent,-5,0,adult,male,29,0,25,6
own,5,3,child,female,191,8,6,6
own,10,0,senior,female,56,0,76,11
own,-10,0,senior,female,56,12,64,4
own,10,2,adult,male,27,7,25,12
own,15,3,adult,female,117,0,39,10
own,-0,1,child,male,40,22,14,6
own,15,2,adult,male,125,14,41,9
own,20,1,child,female,41,21,6,11
rent,-10,1,senior,male,110,21,79,1
own,15,3,adult,male,115,14,50,11
own,20,3,season,female,56,0,48,11
own,5,1,senior,female,18,0,69,8
own,-10,1,adult,female,185,8,54,2
rent,10,1,senior,male,118,12,64,6
own,15,1,senior,female,125,21,63,10
own,5,3,adult,female,46,19,28,8
own,15,1,season,male,110,14,55,7
own,15,1,child,female,158,18,11,9
rent,15,2,child,female,129,18,6,11
rent,5,1,season,male,186,11,53,4
own,10,1,season,male,95,0,62,8
own,25,2,adult,male,28,12,24,13
own,20,3,adult,male,11,11,49,12
own,25,0,adult,female,147,9,26,13
rent,5,1,adult,male,132,11,48,4
own,20,0,senior,male,181,22,68,6
own,15,0,child,male,111,17,9,11
own,15,1,child,male,21,0,9,12
rent,10,2,child,male,171,22,14,6
own,5,4,adult,female,129,0,28,9
own,10,2,adult,male,39,0,44,11
own,-5,2,senior,male,107,0,65,3
own,15,3,child,female,168,0,7,8
own,-5,4,adult,female,105,28,28,3
own,15,3,season,female,11,10,28,9
own,-0,1,season,female,184,0,70,4
rent,0,2,adult,female,105,10,37,5
own,5,3,child,male,167,0,12,6
own,5,1,adult,male,120,12,50,8
own,15,1,child,male,174,0,15,10
own,5,0,adult,female,131,25,34,5
rent,20,2,season,male,29,10,55,8
own,20,3,senior,male,110,13,68,8
rent,10,1,adult,female,132,0,48,8
own,30,0,season,female,173,13,42,11
own,15,0,senior,male,164,7,68,8
own,20,1,adult,female,174,16,47,11
own,10,3,adult,female,36,26,47,8
rent,10,2,child,male,98,0,8,7
own,5,0,child,female,15,20,12,9
rent,15,0,child,male,120,0,7,11
own,15,2,adult,male,93,21,47,8
own,25,2,adult,other,116,0,33,14
rent,30,1,senior,male,99,17,87,12
rent,5,1,child,male,87,8,14,8
own,0,1,child,female,13,9,14,9
rent,-5,3,adult,male,112,10,20,2
own,15,0,senior,female,24,16,74,9
own,15,2,adult,male,113,12,42,9
rent,10,1,adult,female,63,0,41,10
own,15,1,adult,other,179,28,30,8
own,15,1,adult,female,122,11,19,10
own,20,2,child,male,83,13,12,14
rent,15,1,adult,female,18,23,29,11
own,0,0,adult,female,37,16,59,8
own,15,1,adult,female,151,16,39,8
own,5,1,adult,male,35,12,38,9
rent,-0,3,adult,female,150,0,30,4
own,15,0,adult,male,103,18,45,13
rent,30,1,senior,male,31,27,75,12
own,25,0,adult,female,121,23,21,12
own,25,2,adult,male,45,20,45,13
rent,15,1,child,male,46,6,14,14
rent,-10,0,child,female,16,19,10,4
own,-5,1,season,female,113,19,67,5
own,5,2,adult,male,113,16,30,8
own,0,1,season,other,58,22,56,5
own,5,2,season,male,21,0,67,8
rent,0,1,child,male,24,12,14,6
rent,25,1,child,male,173,19,11,11
own,0,1,season,female,36,0,26,7
own,10,2,adult,male,184,23,25,3
own,25,0,senior,male,94,9,66,15
rent,5,1,senior,female,43,0,64,10
own,15,1,season,female,118,12,49,8
own,5,2,senior,male,40,18,74,8
own,20,3,child,male,34,9,14,13
own,10,2,adult,female,29,19,38,10
own,15,2,adult,female,36,0,36,13
own,-5,1,senior,male,103,0,78,2
own,-0,2,adult,female,34,22,39,8
rent,10,2,adult,female,13,11,20,10
own,30,1,adult,female,158,17,59,14
own,25,1,senior,female,117,16,74,10
rent,10,2,senior,female,98,17,71,4
own,30,2,adult,male,54,16,19,15
own,15,2,adult,female,20,11,44,11
own,15,3,child,female,14,17,10,9
own,15,2,season,female,21,19,61,8
own,0,0,adult,male,42,17,25,7
own,10,1,adult,male,109,15,42,7
own,25,2,season,male,108,9,33,11
own,10,1,season,female,173,14,48,5
rent,25,2,child,female,137,14,17,10
rent,20,0,adult,male,36,19,27,11
own,10,1,senior,male,171,6,61,7
own,10,2,season,male,169,0,66,5
own,5,1,senior,female,181,11,66,6
own,15,0,senior,female,51,17,73,11
own,-5,2,adult,female,25,18,48,5
own,10,3,season,male,37,17,50,5
rent,-10,2,senior,male,36,18,72,1
own,20,3,child,male,13,0,10,14
own,25,0,season,male,104,10,31,12
rent,5,1,adult,male,36,0,50,10
rent,20,3,senior,male,45,0,65,12
own,5,2,child,male,34,0,16,8
own,-0,2,child,female,17,16,14,6
own,-0,2,child,female,44,25,9,9
own,10,0,adult,female,169,0,30,10
own,10,4,season,female,118,0,53,6
own,20,0,adult,male,19,14,53,12
own,20,3,season,female,121,17,41,8
own,5,0,season,male,45,24,54,8
own,20,3,child,female,20,0,7,13
rent,-5,1,adult,male,94,17,32,3
own,15,2,adult,female,85,16,33,10
own,5,3,senior,male,162,16,66,5
own,15,2,child,male,48,12,18,13
own,5,1,adult,female,13,23,39,9
own,10,3,senior,female,97,0,61,9
own,10,1,season,other,14,17,43,11
own,20,0,adult,female,157,16,52,10
own,15,1,adult,male,103,16,50,7
own,10,0,season,female,99,15,59,8
own,5,1,adult,female,94,0,54,7
own,5,0,adult,female,32,24,33,7
rent,-5,3,senior,male,169,21,70,1
own,-5,2,adult,male,24,25,58,6
own,5,0,adult,male,105,18,30,6
own,25,3,senior,male,162,0,61,10
own,30,3,child,male,168,18,18,11
rent,30,0,senior,male,19,20,61,12
own,10,1,season,female,118,29,30,4
own,10,1,adult,male,120,25,46,8
rent,5,2,season,female,29,22,42,5
own,10,1,child,male,12,0,12,12
own,30,2,adult,female,38,0,27,15
own,-15,1,adult,female,47,22,44,2
own,20,0,season,female,173,0,44,9
own,5,3,season,female,129,0,55,5
rent,-5,1,adult,male,43,0,22,7
own,10,2,senior,male,179,22,64,7
own,15,0,adult,female,123,16,30,7
rent,15,2,child,female,117,0,16,11
own,15,3,season,female,48,18,41,8
own,5,3,child,male,26,0,12,10
own,0,4,adult,male,52,23,20,4
rent,15,2,adult,female,125,0,32,9
rent,-10,3,senior,male,55,12,65,3
own,-0,0,senior,male,188,18,73,4
own,25,2,adult,male,125,12,52,13
own,5,2,adult,male,30,16,53,7
own,10,1,child,male,64,27,13,7
own,-20,1,adult,male,104,0,36,3
own,20,2,adult,male,96,22,49,9
rent,0,2,senior,male,96,26,61,2
rent,5,1,senior,male,116,19,72,5
own,10,2,senior,male,128,10,69,7
own,15,0,adult,male,17,7,50,13
own,10,5,adult,male,92,28,57,3
own,5,5,senior,female,185,19,67,3
own,5,1,adult,male,39,0,52,10
own,0,0,senior,female,185,12,64,6
own,35,2,child,male,20,0,9,19
rent,5,1,child,male,197,0,7,6
own,10,2,child,other,116,0,13,10
rent,20,2,adult,female,31,14,54,10
own,10,1,adult,female,47,19,27,7
own,5,2,season,female,104,7,45,5
own,5,0,season,female,49,16,39,7
rent,-5,3,adult,male,45,8,34,5
own,10,4,adult,female,173,9,42,8
own,10,1,senior,male,108,25,72,7
own,5,1,child,female,44,14,15,9
rent,20,1,senior,male,43,13,71,10
own,5,1,child,female,12,0,6,11
own,25,6,child,female,158,19,17,8
own,10,1,senior,female,49,0,67,10
own,0,3,season,female,55,28,35,3
own,10,1,child,female,26,15,8,10
own,15,0,adult,male,185,22,54,6
own,-10,2,adult,female,100,17,55,2
own,15,4,adult,female,47,20,56,8
own,5,0,adult,male,30,0,59,11
own,-0,0,adult,male,101,18,19,7
own,15,0,adult,male,38,17,28,11
own,15,1,adult,female,174,18,27,8
own,10,1,child,female,50,0,14,12
own,-5,0,senior,female,52,18,70,4
own,5,1,season,female,56,10,64,7
own,5,3,season,male,51,16,58,7
own,-5,2,senior,female,169,10,67,2
rent,10,2,child,male,36,0,12,12
own,20,0,adult,male,173,11,20,11
rent,10,2,adult,male,109,18,47,6
own,10,3,adult,male,27,0,56,11
own,0,2,season,female,36,25,39,5
own,5,1,adult,female,118,27,31,8
own,-5,3,adult,female,34,20,29,3
own,25,0,senior,female,96,16,74,13
own,15,2,adult,female,98,11,45,8
own,-5,1,senior,female,40,25,63,5
own,10,0,adult,male,180,25,36,5
rent,25,0,senior,female,23,0,70,15
own,-5,0,child,male,115,8,15,6
own,10,0,adult,male,131,8,22,9
own,10,1,adult,female,103,13,36,8
own,15,4,adult,female,127,20,41,7
own,10,1,child,male,50,0,9,12
rent,15,2,adult,female,93,15,22,8
rent,20,1,senior,female,125,19,64,6
own,5,1,senior,male,102,19,68,5
rent,-5,3,senior,male,121,0,80,4
own,5,1,adult,female,28,16,52,10
own,-0,2,season,female,13,19,39,6
own,-0,3,child,female,32,15,12,8
own,-5,1,adult,female,10,28,49,6
rent,15,0,season,male,107,11,56,7
own,15,0,adult,male,93,9,34,13
own,-0,0,child,male,43,0,6,9
own,20,2,child,female,104,23,17,10
own,35,0,season,female,16,15,19,17
own,20,3,senior,female,132,11,81,9
own,0,3,senior,male,95,12,62,6
own,15,3,child,female,188,0,5,8
own,20,0,child,female,97,0,12,13
rent,10,3,season,female,52,0,36,8
own,20,0,adult,female,20,0,30,15
rent,15,3,child,female,121,19,7,9
own,15,0,child,male,110,8,16,11
rent,-0,1,season,male,41,24,49,4
own,10,2,child,male,179,13,6,6
own,20,3,child,male,112,15,9,10
rent,20,6,adult,female,183,25,47,4
own,15,0,senior,male,147,21,72,6
own,20,2,adult,male,18,20,58,11
rent,-10,2,adult,male,59,21,33,3
own,25,0,adult,male,120,0,51,13
own,-10,2,season,female,104,21,72,1
own,20,3,season,male,118,13,42,7
own,5,0,season,female,48,0,67,11
own,-5,1,child,female,107,27,5,4
own,10,2,child,female,98,16,6,6
own,5,3,adult,female,160,0,45,5
own,5,0,adult,female,57,0,27,9
own,-0,3,adult,male,43,9,37,4
own,35,0,senior,female,55,12,68,17
own,40,0,adult,male,174,11,19,15
own,5,0,season,male,53,9,54,9
own,30,2,senior,male,124,0,64,14
rent,-5,2,adult,male,50,26,28,5
rent,20,1,season,female,48,21,51,8
own,20,0,season,male,27,0,49,12
own,25,1,child,female,44,0,11,15
own,10,1,adult,male,174,14,41,4
own,20,4,adult,male,20,12,38,9
own,15,2,senior,female,36,0,74,10
own,20,3,child,female,49,12,14,11
own,20,0,senior,male,87,14,77,12
rent,15,0,child,male,113,0,16,9
own,5,4,child,female,106,8,9,5
rent,20,4,season,male,51,22,60,7
own,0,3,child,male,110,11,6,5
rent,10,0,season,male,164,11,64,6
own,30,1,child,male,107,0,7,16
own,20,0,senior,female,59,11,75,12
own,-15,0,adult,male,118,21,51,2
rent,-0,2,adult,male,29,15,47,6
rent,40,1,season,female,46,19,58,12
own,5,1,season,male,52,20,49,7
own,-20,2,adult,female,176,0,20,1
own,10,2,adult,female,49,24,51,7
own,5,2,child,other,179,23,12,4
own,10,0,adult,male,133,21,28,8
own,-0,1,adult,female,56,17,32,7
own,10,0,child,male,173,25,9,6
own,15,1,adult,female,32,0,33,12
own,25,2,season,female,124,11,36,11
own,20,2,adult,female,114,0,59,9
own,10,5,senior,female,123,6,66,6
own,5,3,senior,female,46,12,66,8
rent,-5,2,adult,male,13,13,23,8
own,25,5,adult,male,62,13,40,10
rent,5,4,child,female,17,27,14,6
own,5,1,child,female,25,16,9,10
own,0,1,senior,male,171,0,67,7
own,35,0,adult,female,138,0,22,18
own,0,2,child,male,29,0,7,10
own,5,0,season,male,33,0,56,10
own,-5,3,season,female,31,14,36,6
own,15,1,season,male,42,24,72,12
rent,25,1,adult,male,144,22,22,11
own,10,3,adult,female,66,13,50,8
rent,5,1,senior,male,112,12,63,7
own,0,2,adult,male,16,16,28,4
own,0,1,child,male,130,14,14,5
own,10,3,senior,female,28,0,80,11
own,0,1,senior,female,53,11,71,7
own,5,2,child,male,134,0,8,7
own,-0,1,child,male,31,9,13,7
own,5,1,adult,male,176,12,36,5
own,-10,1,child,female,105,0,10,5
own,-15,1,senior,other,121,10,61,2
rent,5,0,adult,male,171,0,41,7
own,5,2,child,male,27,10,15,10
own,10,0,adult,male,12,0,29,11
own,5,2,adult,female,32,8,24,8
rent,5,0,adult,male,67,25,43,8
rent,5,2,adult,female,178,23,43,4
rent,10,4,adult,male,53,16,42,7
own,10,3,adult,male,21,13,49,8
own,-5,1,season,female,98,21,52,3
rent,20,2,adult,male,109,0,33,10
rent,25,1,adult,female,29,10,45,14
own,10,0,adult,female,178,12,60,7
own,20,2,adult,female,96,15,53,9
own,-0,2,adult,male,65,25,50,6
own,5,2,senior,female,17,14,69,9
own,15,2,adult,female,161,11,44,9
own,10,3,adult,male,119,20,23,8
own,0,0,adult,male,12,18,56,8
own,5,1,adult,female,175,11,47,5
own,10,2,season,female,171,14,46,3
own,-5,1,adult,female,124,15,36,4
rent,5,3,adult,male,103,0,28,6
own,5,2,adult,male,157,0,29,7
own,0,1,adult,male,28,20,25,8
own,5,0,adult,male,54,17,55,10
own,10,1,child,male,53,23,14,7
own,0,4,child,male,26,17,12,5
own,15,0,adult,male,13,21,34,10
own,5,2,adult,female,32,0,41,8
own,5,1,adult,female,180,12,49,7
own,-5,1,senior,male,123,0,60,6
own,5,0,adult,female,27,12,31,8
own,10,0,child,male,181,25,10,8
own,-0,2,child,male,52,0,8,5
own,0,0,adult,male,162,15,58,5
rent,10,1,season,male,94,13,43,6
own,25,1,season,male,113,0,52,9
own,-5,1,senior,male,172,0,62,4
own,-10,0,adult,female,169,19,59,3
own,-5,4,child,male,114,13,8,3
own,-0,1,adult,male,94,18,42,7
rent,20,1,senior,female,43,13,62,13
own,5,2,adult,male,185,12,28,8
own,-5,3,adult,male,170,17,35,4
own,5,1,senior,male,49,0,64,9
own,15,1,senior,male,106,18,86,9
own,35,2,adult,male,47,26,27,14
own,5,3,adult,male,124,0,31,5
own,10,3,adult,female,182,21,52,5
own,5,2,adult,male,66,9,53,8
rent,15,0,senior,female,118,28,66,7
own,10,1,adult,female,45,13,57,11
own,-0,0,senior,female,103,6,78,6
own,20,3,child,male,36,0,5,14
own,5,0,senior,male,34,10,70,12
own,0,1,adult,female,39,7,40,7
own,0,1,senior,male,124,14,75,7
own,10,2,adult,female,150,29,25,5
own,15,0,season,female,184,0,47,7
own,10,1,child,male,46,23,9,10
own,-5,2,child,female,126,17,8,4
own,15,0,season,female,107,10,50,6
own,5,1,season,male,50,0,70,8
own,20,0,senior,male,100,24,73,11
own,25,1,adult,male,165,11,37,10
own,20,0,child,female,88,28,13,10
own,20,0,adult,female,174,20,40,8
own,25,0,child,male,38,0,6,15
own,10,3,adult,male,22,21,29,6
rent,10,1,child,male,47,20,15,8
own,10,2,season,female,112,22,66,5
own,10,4,child,other,49,13,7,8
own,20,4,adult,female,164,19,24,7
own,-20,2,adult,male,17,10,35,4
own,20,1,adult,male,166,19,38,8
own,10,1,adult,male,125,8,53,9
rent,5,2,adult,female,63,15,24,7
own,-15,2,adult,male,175,23,20,1
own,10,2,adult,male,17,21,36,6
own,15,1,adult,male,127,12,28,9
rent,15,5,senior,female,172,15,67,5
own,20,2,adult,female,119,9,35,13
own,5,2,adult,male,101,25,23,8
own,10,3,senior,female,50,24,61,7
own,5,1,adult,female,64,12,27,7
own,20,6,senior,female,166,24,62,8
own,20,1,senior,male,95,0,72,11
own,20,3,season,male,20,29,58,11
own,30,3,child,male,100,18,15,12
own,20,1,child,female,19,17,15,13
own,-5,2,season,female,35,14,55,3
own,10,3,senior,female,111,0,89,6
own,5,1,child,female,12,15,17,10
own,15,3,child,female,40,0,14,10
own,-5,2,senior,male,46,27,65,5
own,-0,0,adult,female,17,24,31,8
own,-0,2,adult,male,127,9,31,2
own,20,3,senior,female,13,0,65,12
own,-5,0,adult,male,59,21,56,4
own,-10,2,child,male,40,19,16,5
own,15,2,child,male,48,22,13,10
own,20,0,child,female,166,13,8,11
own,35,2,child,female,166,0,17,16
rent,10,1,adult,male,168,12,51,5
own,15,1,adult,male,176,0,21,9
rent,35,1,adult,female,58,8,27,17
own,25,1,season,female,36,18,59,15
own,10,0,adult,female,19,0,59,11
own,15,0,adult,female,12,12,57,12
own,5,1,adult,male,101,17,36,8
own,5,3,season,female,19,0,50,8
own,5,1,senior,female,163,27,80,4
own,10,2,adult,male,107,21,52,6
own,15,2,season,male,103,9,57,9
rent,5,1,adult,male,112,18,21,5
own,0,2,adult,male,110,21,58,5
own,-0,0,season,female,60,0,65,7
own,5,4,adult,male,118,20,56,6
own,-0,2,senior,female,118,15,63,4
own,-5,1,senior,female,52,29,60,4
own,-0,3,adult,female,176,16,47,5
own,-5,2,senior,male,23,21,71,7
own,10,2,child,male,33,18,15,9
rent,-10,4,senior,male,29,28,60,1
rent,10,3,child,female,177,8,13,7
own,30,1,adult,male,36,20,51,14
own,5,3,senior,female,131,0,64,9
own,15,5,adult,female,38,0,39,12
own,5,3,adult,male,22,15,52,9
rent,-15,2,adult,female,49,26,46,3
own,20,0,adult,male,37,18,37,9
own,5,1,adult,male,21,21,46,7
own,15,0,child,female,175,14,13,7
own,25,1,adult,male,110,25,39,11
own,5,0,senior,female,115,17,81,7
own,5,1,child,male,112,20,6,6
rent,15,2,adult,male,106,22,42,8
own,10,1,season,female,30,14,63,9
own,5,0,child,male,19,11,12,11
rent,5,1,senior,male,141,11,65,7
rent,5,0,adult,male,119,14,27,8
own,40,2,adult,female,15,13,54,19
own,15,1,senior,male,22,30,61,10
own,-0,2,child,female,50,12,14,6
own,-0,2,child,male,136,0,11,8
rent,5,1,adult,male,51,9,25,6
own,25,1,child,female,179,21,16,12
own,0,2,season,female,39,21,29,4
own,-0,1,adult,female,161,0,32,4
own,-0,0,adult,female,48,21,26,6
own,5,1,senior,female,48,16,69,8
own,20,1,child,male,25,12,16,15
own,5,2,adult,male,82,12,30,8
own,25,1,adult,female,18,20,18,13
own,20,1,adult,other,156,19,22,10
rent,10,2,season,female,117,21,31,5
rent,15,1,season,male,16,22,39,8
own,15,1,senior,male,38,0,69,13
own,5,3,season,male,120,20,78,5
own,10,2,season,male,29,16,64,8
rent,30,5,adult,female,55,0,31,12
own,15,2,adult,female,33,20,36,10
own,10,1,adult,female,119,10,57,8
own,5,2,senior,male,91,13,76,7
own,10,3,adult,male,177,0,28,7
own,10,5,child,female,45,13,16,6
own,15,2,adult,male,128,9,59,8
